9,2,0,3,0
10,2,0,5,0
10,2,1,5,0
10,2,2,5,0
10,2,8,5,0
12,2,0,4,0
12,2,4,4,0
12,2,8,4,0
12,3,0,4,0
12,3,4,4,0
12,3,8,4,0
12,2,0,3,0
12,2,4,3,0
12,2,5,3,0
12,2,6,3,0
12,2,9,3,0
12,3,0,3,0
12,3,4,3,0
12,3,5,3,0
12,3,6,3,0
12,3,9,3,0
14,2,0,7,0
14,2,4,7,0
14,2,8,7,0
14,3,0,7,0
14,3,4,7,0
14,3,8,7,0
15,2,0,5,0
15,2,2,5,0
15,2,3,5,0
15,2,4,5,0
15,2,6,5,0
15,2,10,5,0
15,2,14,5,0
15,3,0,5,0
15,3,2,5,0
15,3,3,5,0
15,3,4,5,0
15,3,6,5,0
15,3,10,5,0
15,3,14,5,0
16,2,0,8,0
16,2,6,8,0
16,2,7,8,0
16,2,8,8,0
16,2,15,8,0
16,3,0,8,0
16,3,6,8,0
16,3,7,8,0
16,3,15,8,0
16,2,0,4,0
16,2,2,4,0
16,2,3,4,0
16,2,6,4,0
16,2,7,4,0
16,3,0,4,0
16,3,2,4,0
16,3,3,4,0
16,3,6,4,0
16,3,7,4,0
20,2,0,10,0
20,2,0,5,0
20,2,2,5,0
20,2,3,5,0
20,2,5,5,0
20,2,7,5,0
20,2,12,5,0
20,2,13,5,0
20,2,16,5,0
20,2,19,5,0
20,3,0,5,0
20,3,2,5,0
20,3,3,5,0
20,3,5,5,0
20,3,7,5,0
20,3,12,5,0
20,3,13,5,0
20,3,16,5,0
20,3,19,5,0
24,2,0,8,0
24,3,12,8,0
24,2,0,6,0
24,3,12,6,0
25,2,0,5,0
25,2,13,5,0
25,3,0,5,0
25,3,13,5,0
25,4,13,5,0
25,5,13,5,0
